sym,uniprot,tdl,protein_id
SERPINA2,P20848,Tdark,33
POTEKP,Q9BYX7,Tdark,52
AGPAT4-IT1,Q9H0P7,Tdark,84
AGAP14P,A8MT82,Tdark,86
ABHD13,Q7L211,Tdark,190
ADARB2-AS1,A8MUL3,Tdark,213
ALLC,Q8N6M5,Tdark,254
ANKRD20A8P,Q5CZ79,Tdark,264
ANKRD20A5P,A0PJZ0,Tdark,380
A4GNT,Q9UNA3,Tbio,384
AKAP7,O43687,Tbio,509
MLLT6,P55198,Tdark,552
AFAP1L1,Q8TED9,Tbio,553
ADORA2A-AS1,P86434,Tdark,603
ABCC13,Q9NSE7,Tdark,609
ARHGAP5-AS1,Q96IT6,Tdark,649
ANXA8L1,P13928,Tbio,753
ARGFX,A6NJG6,Tdark,780
ANHX,E9PGG2,Tdark,876
ARMCX6,Q7L4S7,Tdark,934
AKAIN1,P0CW23,Tdark,1172
ASNSD1,Q9NWL6,Tdark,1245
B3GNT8,Q7Z7M8,Tbio,1312
BAALC-AS2,P0C853,Tdark,1316
ACOT7L,Q6ZUV0,Tdark,1320
BAHCC1,Q9P281,Tbio,1364
ATXN8,Q156A1,Tdark,1402
BAGE,Q13072,Tdark,1416
BAGE4,Q86Y28,Tdark,1417
BAGE2,Q86Y30,Tbio,1441
BAGE5,Q86Y27,Tdark,1442
NBEAP1,P0C6P0,Tdark,1451
ASCL5,Q7RTU5,Tdark,1467
ANKRD26P1,Q6NSI1,Tdark,1495
ADAMTSL2,Q86TH1,Tbio,1551
BIVM,Q86UB2,Tdark,1606
LRRC75A-AS1,Q8N1F1,Tdark,1651
C1orf94,Q6P1W5,Tdark,1664
C1orf127,Q8N9H9,Tdark,1665
C1orf196,B1AJZ1,Tdark,1667
C1orf198,Q9H425,Tdark,1668
C1orf232,A0A0U1RR37,Tdark,1669
CA5BP1,Q8WTZ4,Tdark,1671
CACTIN-AS1,Q8N1I8,Tdark,1672
CTSL3P,Q5NE16,Tdark,1710
C2orf15,Q8WU43,Tdark,1712
C2orf27B,Q580R0,Tdark,1713
C2orf50,Q96LR7,Tdark,1714
CCDC144CP,Q8IYA2,Tdark,1817
C1orf53,Q5VUE5,Tdark,1819
C1orf74,Q96LT6,Tdark,1820
C1orf122,Q6ZSJ8,Tdark,1822
C1orf216,Q8TAB5,Tdark,1830
C1orf228,Q6PIY5,Tdark,1831
C2orf48,Q96LS8,Tdark,1847
C3orf33,Q6P1S2,Tbio,1858
BVES-AS1,Q5T3Y7,Tdark,1920
MIR1-1HG-AS1,Q96NR2,Tdark,1931
LINC00467,Q9BRT7,Tdark,1938
C1orf147,Q96MC9,Tdark,1941
C1orf167,Q5SNV9,Tdark,1944
C1orf174,Q8IYL3,Tdark,1945
C1orf195,Q5TG92,Tdark,1947
PIK3CD-AS1,Q5SR53,Tdark,1948
ZNF436-AS1,Q8NC38,Tdark,1949
BARGIN,Q6ZT62,Tbio,2002
BECN2,A8MW95,Tbio,2070
GUSBP11,Q6P575,Tdark,2077
C3P1,Q6ZMU1,Tdark,2104
CASP8AP2,Q9UKL3,Tbio,2109
C1orf185,Q5T7R7,Tdark,2113
C1orf220,Q5T0J3,Tdark,2117
C1orf229,Q6ZS94,Tdark,2118
BPESC1,Q9GZL8,Tdark,2193
CASC2,Q8IU53,Tdark,2225
CCDC154,A6NI56,Tdark,2252
CCDC188,H7C350,Tdark,2262
CCNQ,Q8N1B3,Tdark,2291
CCNYL3,P0C7X3,Tdark,2293
C2orf91,Q6ZV80,Tdark,2313
LINC00696,Q6ZRV3,Tdark,2318
CCDC194,A0A1B0GVG4,Tdark,2328
CCDC195,A0A1B0GUA6,Tdark,2329
CCDC197,Q8NCU1,Tdark,2330
CCNYL2,Q5T2Q4,Tdark,2344
C4orf50,Q6ZRC1,Tdark,2347
CDRT15L2,A8MXV6,Tdark,2349
CASTOR2,A6NHX0,Tbio,2373
C2orf78,A6NCI8,Tdark,2382
C3orf49,Q96BT1,Tdark,2395
CCDC192,P0DO97,Tdark,2405
CCDC74B,Q96LY2,Tdark,2407
,Q1T7F1,Tdark,2411
LINC01554,Q52M75,Tdark,2444
C5orf51,A6NDU8,Tdark,2445
C5orf64,Q2M2E5,Tdark,2446
CEACAM19,Q7Z692,Tdark,2448
CHMP4BP1,P59074,Tdark,2475
C9orf16,Q9BUW7,Tdark,2484
C9orf50,Q5SZB4,Tdark,2486
C9orf163,Q8N9P6,Tdark,2488
C10orf82,Q8WW14,Tdark,2494
C11orf96,Q7Z7L8,Tdark,2501
LINC01559,Q495D7,Tdark,2508
C12orf40,Q86WS4,Tdark,2509
C12orf66,Q96MD2,Tbio,2512
C12orf77,C9JDV5,Tdark,2513
CLEC20A,Q6ZU45,Tdark,2516
CLRN2,A0PK11,Tdark,2534
C6orf99,Q4VX62,Tdark,2571
C7orf65,Q6ZTY9,Tdark,2574
C9orf116,Q5BN46,Tdark,2599
C9orf153,Q5TBE3,Tdark,2603
C10orf95,Q9H7T3,Tdark,2611
C10orf142,B7Z368,Tdark,2612
C11orf98,E9PRG8,Tdark,2620
C5orf49,A4QMS7,Tdark,2643
LINC00472,Q9H8W2,Tdark,2670
LINC00473,A8K010,Tdark,2672
LINC00574,Q9H8X3,Tdark,2675
C7orf66,A4D0T2,Tdark,2691
CHST9,Q7L1S5,Tbio,2704
C5orf60,A6NFR6,Tdark,2797
C5orf66,Q9H5L9,Tdark,2798
C2orf70,A6NJV1,Tdark,2818
C5orf67,F2Z3F1,Tdark,2867
CELF2-AS1,Q8N7Q2,Tdark,2874
LINC00271,P0C7V0,Tdark,2893
C7orf33,Q8WU49,Tdark,2901
C7orf77,A4D0Y5,Tdark,2902
CCDC162P,A2VCL2,Tdark,2920
CCDC166,P0CW27,Tdark,2921
CCDC26,Q8TAB7,Tdark,2933
CCL14,Q16627,Tbio,2953
LINC01587,Q99440,Tdark,2967
C4orf48,Q5BLP8,Tdark,2970
CDCP2,Q5VXM1,Tdark,3003
LINC00242,Q5T6M2,Tdark,3013
C8orf48,Q96LL4,Tdark,3021
C8orf58,Q8NAV2,Tdark,3022
LINC00588,Q9Y4M8,Tdark,3023
C8orf74,Q6P047,Tdark,3024
C8orf76,Q96K31,Tdark,3025
